time,vertex,state,state_id,buffer_occupation,production_step
36,63,starved,0,0.0,13
36,14,working,2,0.0,14
36,31,working,2,0.0,14
36,35,starved,0,0.0,14
36,54,starved,0,0.0,14
36,56,starved,0,0.0,14
36,15,working,2,0.0,15
36,39,working,2,0.0,15
36,49,starved,0,0.0,15
36,66,starved,0,0.0,15
36,72,starved,0,0.0,15
36,16,working,2,0.0,16
36,27,working,2,0.0,16
36,17,working,2,0.0,17
36,24,working,2,0.0,17
36,45,starved,0,0.0,17
36,18,working,2,0.0,18
36,55,working,2,0.0,18
36,60,starved,0,0.0,18
36,64,starved,0,0.0,18
36,19,working,2,0.0,19
36,44,working,2,0.0,19
36,53,blocked,1,0.0,19
36,62,blocked,1,0.0,19
36,20,working,2,0.6666666666666666,20
36,47,working,2,0.6666666666666666,20
36,21,working,2,0.0,21
36,38,working,2,0.0,21
37,0,working,2,0.0,0
37,71,working,2,0.0,0
37,1,working,2,0.6666666666666666,1
37,29,working,2,0.3333333333333333,1
37,2,starved,0,0.0,2
37,25,starved,0,0.0,2
37,50,starved,0,0.0,2
37,51,starved,0,0.0,2
37,70,starved,0,0.0,2
37,3,starved,0,0.0,3
37,33,starved,0,0.0,3
37,4,starved,0,0.0,4
37,28,starved,0,0.0,4
37,41,starved,0,0.0,4
37,52,starved,0,0.0,4
37,69,starved,0,0.0,4
37,5,working,2,0.3333333333333333,5
37,22,working,2,0.0,5
37,6,working,2,0.0,6
37,23,working,2,0.0,6
37,30,starved,0,0.0,6
37,46,starved,0,0.0,6
37,7,working,2,0.0,7
37,42,working,2,0.0,7
37,67,starved,0,0.0,7
37,8,working,2,0.0,8
37,40,working,2,0.0,8
37,57,starved,0,0.0,8
37,9,working,2,0.0,9
37,34,starved,0,0.0,9
37,36,starved,0,0.0,9
37,61,starved,0,0.0,9
37,10,working,2,0.0,10
37,48,working,2,0.0,10
37,65,starved,0,0.0,10
37,73,starved,0,0.0,10
37,11,working,2,0.0,11
37,43,starved,0,0.0,11
37,58,starved,0,0.0,11
37,68,starved,0,0.0,11
37,12,working,2,0.3333333333333333,12
37,32,working,2,0.3333333333333333,12
37,13,working,2,0.0,13
37,26,working,2,0.0,13
37,37,starved,0,0.0,13
37,59,starved,0,0.0,13
37,63,starved,0,0.0,13
37,14,working,2,0.0,14
37,31,working,2,0.0,14
37,35,working,2,0.0,14
37,54,starved,0,0.0,14
37,56,starved,0,0.0,14
37,15,working,2,0.0,15
37,39,working,2,0.0,15
37,49,starved,0,0.0,15
37,66,starved,0,0.0,15
37,72,starved,0,0.0,15
37,16,working,2,0.0,16
37,27,working,2,0.0,16
37,17,working,2,0.0,17
37,24,working,2,0.0,17
